uri,id
http://data.open.ac.uk/led/lexp/1424387728096,1424387728096
http://data.open.ac.uk/led/lexp/1424726474440,1424726474440
http://data.open.ac.uk/led/lexp/1424727409169,1424727409169
http://data.open.ac.uk/led/lexp/1424727700882,1424727700882
http://data.open.ac.uk/led/lexp/1424727947864,1424727947864
http://data.open.ac.uk/led/lexp/1424730643617,1424730643617
http://data.open.ac.uk/led/lexp/1424731315979,1424731315979
http://data.open.ac.uk/led/lexp/1425069716705,1425069716705
http://data.open.ac.uk/led/lexp/1425336841612,1425336841612
http://data.open.ac.uk/led/lexp/1425337306549,1425337306549
http://data.open.ac.uk/led/lexp/1425337805111,1425337805111
http://data.open.ac.uk/led/lexp/1425338180699,1425338180699
http://data.open.ac.uk/led/lexp/1425338768436,1425338768436
http://data.open.ac.uk/led/lexp/1425339549079,1425339549079
http://data.open.ac.uk/led/lexp/1423409458251,1423409458251
http://data.open.ac.uk/led/lexp/1423410080129,1423410080129
http://data.open.ac.uk/led/lexp/1423520853845,1423520853845
http://data.open.ac.uk/led/lexp/1423521409331,1423521409331
http://data.open.ac.uk/led/lexp/1423521676376,1423521676376
http://data.open.ac.uk/led/lexp/1423522053760,1423522053760
http://data.open.ac.uk/led/lexp/1424384284765,1424384284765
http://data.open.ac.uk/led/lexp/1424384636002,1424384636002
http://data.open.ac.uk/led/lexp/1404078663826,1404078663826
http://data.open.ac.uk/led/lexp/1404079147714,1404079147714
http://data.open.ac.uk/led/lexp/1404079837931,1404079837931
http://data.open.ac.uk/led/lexp/1421014262655,1421014262655
http://data.open.ac.uk/led/lexp/1421014944689,1421014944689
http://data.open.ac.uk/led/lexp/1421015672029,1421015672029
http://data.open.ac.uk/led/lexp/1421016217551,1421016217551
http://data.open.ac.uk/led/lexp/1421019757061,1421019757061
http://data.open.ac.uk/led/lexp/1421020038066,1421020038066
http://data.open.ac.uk/led/lexp/1421020502133,1421020502133
http://data.open.ac.uk/led/lexp/1422442145328,1422442145328
http://data.open.ac.uk/led/lexp/1422442894695,1422442894695
http://data.open.ac.uk/led/lexp/1422443189425,1422443189425
http://data.open.ac.uk/led/lexp/1422443943209,1422443943209
http://data.open.ac.uk/led/lexp/1422444763720,1422444763720
http://data.open.ac.uk/led/lexp/1422445763384,1422445763384
http://data.open.ac.uk/led/lexp/1423409072850,1423409072850
http://data.open.ac.uk/led/lexp/1427633406989,1427633406989
http://data.open.ac.uk/led/lexp/1427633889581,1427633889581
http://data.open.ac.uk/led/lexp/1427634323623,1427634323623
http://data.open.ac.uk/led/lexp/1427634799444,1427634799444
http://data.open.ac.uk/led/lexp/1427637795829,1427637795829
http://data.open.ac.uk/led/lexp/1427638332781,1427638332781
http://data.open.ac.uk/led/lexp/1427638806742,1427638806742
http://data.open.ac.uk/led/lexp/1425340091577,1425340091577
http://data.open.ac.uk/led/lexp/1426362572551,1426362572551
http://data.open.ac.uk/led/lexp/1426363014586,1426363014586
http://data.open.ac.uk/led/lexp/1426363339647,1426363339647
http://data.open.ac.uk/led/lexp/1426363835495,1426363835495
http://data.open.ac.uk/led/lexp/1426364414052,1426364414052
http://data.open.ac.uk/led/lexp/1438431520337,1438431520337
http://data.open.ac.uk/led/lexp/1438449360536,1438449360536
http://data.open.ac.uk/led/lexp/1438449680983,1438449680983
http://data.open.ac.uk/led/lexp/1438522928634,1438522928634
http://data.open.ac.uk/led/lexp/1438523566379,1438523566379
http://data.open.ac.uk/led/lexp/1438524007791,1438524007791
http://data.open.ac.uk/led/lexp/1438524390708,1438524390708
http://data.open.ac.uk/led/lexp/1438525054139,1438525054139
http://data.open.ac.uk/led/lexp/1438525910846,1438525910846
http://data.open.ac.uk/led/lexp/1438526319037,1438526319037
http://data.open.ac.uk/led/lexp/1438527345479,1438527345479
http://data.open.ac.uk/led/lexp/1438527697094,1438527697094
http://data.open.ac.uk/led/lexp/1438529376492,1438529376492
http://data.open.ac.uk/led/lexp/1438539480732,1438539480732
http://data.open.ac.uk/led/lexp/1438540006658,1438540006658
http://data.open.ac.uk/led/lexp/1438540500053,1438540500053
http://data.open.ac.uk/led/lexp/1438540740674,1438540740674
http://data.open.ac.uk/led/lexp/1438541074873,1438541074873
http://data.open.ac.uk/led/lexp/1438541432638,1438541432638
http://data.open.ac.uk/led/lexp/1424385044401,1424385044401
http://data.open.ac.uk/led/lexp/1424385612665,1424385612665
http://data.open.ac.uk/led/lexp/1424386140959,1424386140959
http://data.open.ac.uk/led/lexp/1424386793038,1424386793038
http://data.open.ac.uk/led/lexp/1424387215484,1424387215484
http://data.open.ac.uk/led/lexp/1424731922792,1424731922792
http://data.open.ac.uk/led/lexp/1425067187156,1425067187156
http://data.open.ac.uk/led/lexp/1425067888287,1425067888287
http://data.open.ac.uk/led/lexp/1425068453350,1425068453350
